steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
5,15,5,15,True,True,7,1320,400,300,0.02,45,45,0.2,0.9452497999736806,0.10303169999679085,0.06449035654749288,6.5154626432569795,107.42618864889091
5,15,5,15,True,True,9,1480,100,400,0.05,40,45,0.9000000000000001,2.6609700999979395,0.16524170002958272,0.06162558814229992,6.179930998495297,104.83605059418912
5,15,5,15,True,True,10,1240,350,100,0.02,35,40,0.7,0.5758416999888141,0.06004519999260083,0.06638410391307575,6.639929337069856,109.7980546169285
5,15,5,15,True,True,11,1660,250,200,0.03,40,30,1.0,1.5766462999890791,0.0820520999841392,0.05991198042524516,5.998202713508798,98.46504014469652
5,15,5,15,True,True,11,1920,350,300,0.03,45,25,1.0,1.9093855999817606,0.10618590003286954,0.06026136032528875,6.048391115725117,98.96154661968896
5,15,5,15,True,True,11,1720,250,500,0.02,40,30,0.9000000000000001,3.4673380000167526,0.16896260000066832,0.06039369725994206,6.053183192214421,100.17088926276953
5,15,5,15,True,True,8,1460,150,200,0.06999999999999999,50,40,1.0,1.1352409000101034,0.0896684000181267,0.060618087150587266,6.065964653003192,101.30765051838398
15,15,5,15,True,True,10,1860,450,100,0.03,45,20,1.0,0.7146414000162622,0.06164849999186117,0.06149315938531548,6.149009170759439,101.28536589846782
5,15,5,15,True,True,11,1340,300,300,0.060000000000000005,30,50,0.9000000000000001,1.8036801999987802,0.10597889998462051,0.06100203952365892,6.124481035218569,101.57437207169922
5,15,5,15,True,True,9,2000,150,200,0.09999999999999999,35,25,1.0,1.1183620000083465,0.08747339999536052,0.06175181747769444,6.181691055737509,104.66955974898413
15,15,5,15,True,True,6,1160,350,300,0.05,45,45,0.9000000000000001,1.067987999995239,0.0866736000025412,0.06062704601038297,6.092649523685784,100.57104830106866
5,15,5,15,True,True,10,960,250,500,0.02,25,15,0.8,2.9159224000177346,0.16223609998996835,0.06062798836716653,6.076688230091954,100.51365840989504
10,15,3,15,True,True,11,1800,450,400,0.01,40,25,0.30000000000000004,2.178131199994823,0.10961219998716842,0.06289844400127782,6.30565397056611,104.10597790298416
10,15,5,15,True,True,12,1740,300,200,0.03,40,30,0.8,1.5706864999956451,0.08680930000264198,0.05975612002104534,5.9829892041949915,98.12601827843937
10,15,5,15,True,True,12,1620,350,100,0.02,35,30,1.0,0.8134086000063689,0.06361840000317898,0.06502047917285228,6.514012178939046,106.66139006888679
10,15,5,15,True,True,11,1520,300,200,0.03,40,35,0.9000000000000001,1.5659404000034556,0.09703579999040812,0.059634435439683484,5.968329392448241,97.69326073204084
10,15,5,15,True,True,11,1500,400,300,0.04,45,35,0.9000000000000001,1.8757977000059327,0.11077820000355132,0.06045384892552798,6.064370019015238,99.42706615180961
10,15,5,15,True,True,10,1360,150,100,0.03,30,40,1.0,0.8525919999956386,0.06176669997512363,0.06064189339508723,6.0292455659837305,99.70987156588639
15,15,5,15,True,True,11,1420,250,200,0.04,50,35,0.6000000000000001,1.4943948000000091,0.0833206999959657,0.06039510235718889,6.039505006569569,99.96587523177129
10,15,5,15,True,True,12,1880,300,300,0.02,35,35,0.5,2.223133900028188,0.11315420000755694,0.060260848377452755,6.027821038623357,98.91136675970363
5,15,3,15,True,True,10,1580,400,100,0.09,40,40,0.8,0.7293744999769842,0.0684645000146702,0.05996955466664276,6.013261950530449,98.22121822582224
10,15,5,15,True,True,12,1540,200,200,0.01,45,45,0.9000000000000001,1.4248378999909619,0.08281270001316443,0.06484860894756712,6.471001002429633,106.89919928511088
10,15,5,15,True,True,11,1260,350,400,0.04,30,20,1.0,2.4285596999980044,0.12674300000071526,0.06115136351406181,6.152905318761062,101.65602779276328
10,15,5,15,True,True,12,1760,300,200,0.03,40,30,0.8,1.5443618000135757,0.08765670000866521,0.05975612002104534,5.9829892041949915,98.12601827843937
10,15,5,15,True,True,12,1680,250,200,0.03,40,25,0.9000000000000001,1.6537617000140017,0.08730139999534003,0.06010006825661337,6.01936860495819,98.85695016314317
10,15,5,15,True,True,11,40,350,300,0.02,35,30,0.8,1.3825522000115598,0.10614170001645107,0.059918196729529485,6.0015564279767455,98.39898509464494
10,15,5,15,True,True,12,1920,300,100,0.04,40,35,1.0,0.9864105000015115,0.06220589998702053,0.06005466449952905,6.007711824093549,98.63801559694627
10,15,3,15,True,True,10,1820,250,700,0.03,45,35,0.7,4.152871199999936,0.22457840001152363,0.06113287539740568,6.117939833153555,101.88060438031012
10,15,5,15,True,True,11,1640,800,200,0.05,35,30,0.9000000000000001,0.9766717000020435,0.06934160001401324,0.06151977253742397,6.212652576650739,100.81560532898479
10,15,5,15,True,True,12,1740,500,300,0.02,25,25,0.9000000000000001,1.5731166000041412,0.09291589999338612,0.060658527167115374,6.099767049976614,99.26425943774144
10,15,5,15,True,True,11,1400,400,800,0.04,40,30,0.8,4.233674099974451,0.1993007000128273,0.06172982659024764,6.215843895944698,103.40020735295873
5,15,3,15,True,True,9,1540,300,100,0.01,50,35,1.0,0.5273712999915006,0.06000419998599682,0.0817055700461569,8.351590048520162,141.79042221481384
15,15,5,15,True,True,4,1700,200,200,0.03,45,0,0.9000000000000001,0.6127598999883048,0.07009449999895878,0.060364677516718104,6.049365068624618,100.03688502412766
10,15,5,15,True,True,12,1760,300,200,0.03,40,30,0.8,1.3741149000125006,0.07466469999053515,0.05975612002104534,5.9829892041949915,98.12601827843937
10,15,5,15,True,True,12,1940,300,200,0.02,40,30,0.8,1.3773613000084879,0.07235439999203663,0.06023809481566898,6.017341511439374,99.16950037467313
10,15,5,15,True,True,12,1840,350,300,0.03,35,25,0.7,1.804969400021946,0.09205020000808872,0.06030332711684394,6.04856635024804,98.89680172641309
10,15,5,15,True,True,11,1600,250,200,0.03,40,35,0.9000000000000001,1.4585620999860112,0.07844360001035966,0.06004233371119645,6.010605102021784,98.5822964068743
10,15,5,15,True,True,12,1520,300,100,0.04,45,40,0.9000000000000001,0.8236704999872018,0.06148619997838978,0.06021598422854828,6.022521247320908,99.05141829124781
5,15,5,15,True,True,11,1760,350,300,0.02,35,30,1.0,1.7175801000266802,0.09009209999931045,0.059927479340530554,6.006683469337964,98.21705393319662
10,15,5,15,True,True,10,1660,250,1000,0.03,45,20,0.7,4.99498049999238,0.2403657000104431,0.062103265885249836,6.228488571971861,104.87327676517047
10,15,5,15,True,True,12,1440,400,200,0.02,40,25,0.8,1.1034805000090273,0.07527589997334871,0.060543034506486806,6.065989183740822,99.2367361182133
5,15,5,15,True,True,11,360,350,100,0.06999999999999999,30,40,1.0,0.5041483999957563,0.061697800003457814,0.06010464079618329,6.028721807368454,98.57015044373497
10,15,5,15,True,True,12,1300,200,400,0.04,5,30,0.5,2.622106499999063,0.12516269998741336,0.06096315845938181,6.096124240598773,101.45022964403384
10,15,5,15,True,True,12,1780,300,200,0.03,40,30,0.8,1.395597299997462,0.07682210000348277,0.05975612002104534,5.9829892041949915,98.12601827843937
10,15,5,15,True,True,12,1720,300,200,0.03,40,35,0.7,1.3535616000008304,0.07752429999527521,0.05997897216599748,6.002097988143828,98.18392377106807
10,15,5,15,True,True,12,1880,300,200,0.03,35,30,0.8,1.5136661999858916,0.07871189998695627,0.05985030718536517,5.993005318762539,98.23404969059789
10,15,5,15,True,True,11,1800,250,300,0.04,40,25,0.9000000000000001,2.0707235999871045,0.09881330000644084,0.06066977510380349,6.078648910670183,100.59662727066677
10,15,1,15,True,True,7,1580,350,200,0.02,40,5,0.8,1.1630451999953948,0.07666179997613654,0.0599671855872719,6.005988083481007,98.59245569273618
10,15,5,15,True,True,6,1480,400,100,0.01,45,35,0.9000000000000001,0.40083890000823885,0.05866739997873083,0.08289983700698918,8.488991630675295,144.44830164707778
5,15,5,15,True,True,11,1980,450,300,0.03,35,30,0.7,1.5754576999897836,0.08776369999395683,0.06036589101353533,6.060890683633947,98.79543539713919
15,15,5,15,True,True,10,1680,300,100,0.05,45,30,0.6000000000000001,0.7259679000126198,0.061666000008699484,0.060622184255954434,6.0675659034887826,100.05550358568749
5,15,5,15,True,True,8,960,200,300,0.04,50,35,1.0,1.3319011999847135,0.09581420000176877,0.06039880543742611,6.045513743344091,100.1459810145197
10,15,3,15,True,True,12,1080,250,200,0.02,15,25,0.9000000000000001,1.481197000000975,0.0768382000096608,0.05989159447208795,5.980182411555581,98.11364310741223
10,15,3,15,True,True,12,1100,250,200,0.02,20,25,0.9000000000000001,1.528174700011732,0.07758209999883547,0.059782158161620004,5.968603787707574,97.90360011128823
10,15,3,15,True,True,12,1160,250,200,0.02,15,20,0.9000000000000001,1.5529913999926066,0.07703340001171455,0.0599997675102011,5.9962411956980795,98.41749167369304
10,15,3,15,True,True,11,1000,150,200,0.02,20,25,0.9000000000000001,1.7860053000040352,0.08363760000793263,0.05974851860564018,5.964400187747197,98.32797393980537
10,15,3,15,True,True,11,1060,250,100,0.01,20,20,1.0,0.8632457000057912,0.06038900000567082,0.08059833628581184,8.238280391693737,138.62189380209503
10,15,3,15,True,True,12,820,200,200,0.02,10,25,0.9000000000000001,1.5607544999802485,0.08305939998535905,0.05990829003517264,5.980894896280776,98.48674724749323
10,15,3,15,True,True,12,640,350,200,0.01,15,25,1.0,1.0878931999905035,0.07190629999968223,0.06491841676123264,6.499692719750693,106.69297303123645
10,15,3,15,True,True,11,900,300,100,0.02,15,15,0.9000000000000001,0.7989359000057448,0.06238490001123864,0.06463951283348084,6.4660974374364795,105.98218990027783
10,15,3,15,True,True,12,1200,250,400,0.03,20,25,1.0,2.84850040001038,0.12332839998998679,0.06084639126470157,6.108939142698498,101.26539031461712
10,15,3,15,True,True,11,1100,200,300,0.03,25,30,0.9000000000000001,2.2382798999897204,0.1026683999953093,0.060327237927109124,6.02884530649486,99.92044644290488
10,15,3,15,True,True,10,720,350,200,0.08,15,35,0.30000000000000004,0.9679169000010006,0.07724749999761116,0.06065791129868443,6.079641423140321,100.04810645116251
10,15,5,15,True,True,12,1640,300,200,0.03,40,30,0.8,1.3791248000052292,0.07595829998899717,0.05975612002104534,5.9829892041949915,98.12601827843937
10,15,5,15,True,True,12,1560,250,200,0.03,10,30,0.8,1.475713599982555,0.07767770002828911,0.06003097917108944,6.004652029107956,98.24072905706105
10,15,5,15,True,True,12,1280,300,300,0.03,40,25,0.8,1.7753155000100378,0.09641519999422599,0.0601699317047106,6.033166895487179,98.8853526740103
10,15,3,15,True,True,11,1720,250,100,0.02,35,40,0.9000000000000001,0.9950569000066025,0.060358900009305216,0.06488130564543457,6.473386806605788,106.85834762724173
10,15,5,15,True,True,12,1380,300,200,0.03,40,30,0.9000000000000001,1.2930864000081783,0.07670689999940805,0.05984083847158113,5.996543993576277,97.96549033433644
5,15,5,15,True,True,11,1380,350,600,0.04,20,35,1.0,3.1373317999969004,0.15574800000467803,0.06166160329563837,6.2078983703714865,102.98820508167243
10,15,5,15,True,True,12,1340,300,300,0.02,40,30,0.9000000000000001,1.8848229000141146,0.10229870001785457,0.0597583318936829,5.9850063824197335,98.0087046005951
10,15,5,15,True,True,12,1320,300,300,0.01,35,25,0.9000000000000001,1.740446099996916,0.08621619999757968,0.06099454578882798,6.089452337816602,100.13241739994187
10,15,3,15,True,True,12,1200,250,300,0.02,45,35,0.9000000000000001,2.1570375000301283,0.09709509999083821,0.05966681174869187,5.9591505980029735,97.72819679456686
5,15,3,15,True,True,11,1200,250,400,0.02,45,45,0.9000000000000001,2.402867900003912,0.1154406999994535,0.05964447629327507,5.960559536155804,98.10736355223635
