steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
5,15,3,3,True,True,9,40,250,200,0.05,40,45,0.8,13.18435109999973,0.46440360000042347,0.06013117106456706,6.110701221358725,108.36648376087552
5,15,1,5,True,True,7,720,150,200,0.06999999999999999,35,30,0.7,8.380177799999728,0.29013619999932416,0.059802536991906775,6.048575987775837,105.21233757398666
5,15,1,5,True,True,6,320,250,300,0.08,25,25,0.5,8.944631299999855,0.35712720000037734,0.060083288586312844,6.073137634400025,105.27986675314033
5,15,1,5,True,True,7,760,250,200,0.09999999999999999,40,35,0.5,7.363157400000091,0.28884389999984705,0.05990185898211875,6.056822187630502,104.87544572115124
5,15,1,5,True,True,9,240,450,100,0.09,25,25,0.9000000000000001,4.535775400000148,0.15508440000030532,0.06008149347258287,6.1418025290193246,105.07400217584286
10,15,1,5,True,True,6,1160,150,200,0.060000000000000005,45,30,0.7,9.055846599999768,0.2563087999997151,0.06051568927002828,6.14068255240088,106.68547034957824
5,15,1,5,True,True,12,1540,300,300,0.06999999999999999,35,40,0.5,17.998642499999733,0.5024515999994037,0.05975746804234753,6.053070862236884,104.08730006520466
5,15,1,5,True,True,12,500,300,300,0.05,30,40,0.5,13.645105800000692,0.4721862000001238,0.059528350104100035,6.036799806099045,103.20380462120522
10,15,3,3,True,True,12,520,400,400,0.05,40,45,0.5,26.299118100000214,0.9745969000005061,0.06006598452119175,6.10163523426371,108.45698593052933
5,15,3,5,True,True,12,780,300,300,0.06999999999999999,50,40,0.5,13.268248000000312,0.47400470000002315,0.06013565221907512,6.110895598857267,106.16779959675746
5,15,1,5,True,True,11,1480,400,300,0.04,25,45,0.2,14.305641800000103,0.44034270000020115,0.06069823825588316,6.192650945073407,104.53992354570444
