steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
10,15,3,5,True,True,9,280,150,400,0.05,40,50,0.7,23.67408140000407,0.848025700001017,0.0605324234901314,6.058921702596851,107.29245052510036
5,15,3,5,True,True,9,280,100,500,0.05,45,40,0.6000000000000001,29.963009399998555,1.141484900002979,0.061012334752926174,6.088489221708888,108.26211314850487
10,15,1,5,True,True,11,240,150,400,0.03,40,40,0.8,33.36389369999961,0.9389362000038091,0.06075837787086274,6.102448909917023,107.42017254655798
5,15,3,5,True,True,9,400,150,500,0.04,45,50,0.8,28.80926719999843,1.070302599997376,0.06076523165163928,6.08869853646215,108.0713906388138
10,15,5,5,True,True,7,840,300,300,0.05,30,40,0.6000000000000001,12.00024750000739,0.5466561000030197,0.0612777196154261,6.177633891955094,108.95385690732319
15,15,3,3,True,True,11,180,200,400,0.02,40,45,0.7,40.87423259999923,1.3627979999982927,0.061398950834210826,6.19028664328825,110.7843169670163
5,15,1,5,True,True,5,1020,350,500,0.060000000000000005,35,50,0.9000000000000001,17.0896629999952,0.6910414999983914,0.06118319392848363,6.154190287546463,108.98361979403171
10,15,1,3,True,True,8,20,100,300,0.08,45,40,0.5,27.891080100002,0.8599150000081863,0.061875921716697035,6.201150839295738,111.9906041773444
5,15,3,5,True,True,10,720,450,300,0.05,30,45,0.6000000000000001,13.421399200004089,0.5318559000006644,0.06114344869120485,6.197761871592381,108.57066243865967
10,15,1,5,True,True,11,280,150,400,0.03,40,40,0.8,33.785840799992,0.9354088000036427,0.06075837787086274,6.102448909917023,107.42017254655798
10,15,1,5,True,True,9,340,150,400,0.03,40,45,0.9000000000000001,31.320353800001612,0.8589300000057847,0.06110607615188255,6.146281445021497,108.53756692354149
10,15,1,5,True,True,11,460,200,300,0.04,50,30,0.8,24.66162379999878,0.6672212999983458,0.06063115496046784,6.091447695134414,107.73070292203802
10,15,1,5,True,True,7,180,150,400,0.04,45,40,0.7,23.502947099997982,0.7502709000036702,0.06095600802932543,6.121497443183326,107.64963969365702
10,15,1,1,True,True,9,360,250,500,0.02,35,50,1.0,197.553429399999,4.41725490000681,0.06663827781592113,6.85849262262746,137.56224537661618
5,15,1,5,True,True,10,140,200,100,0.04,45,35,0.8,7.102007900000899,0.19876159999330412,0.06174087638028358,6.2296805987806865,108.39225318749754
15,15,3,5,True,True,3,480,100,300,0.01,40,35,0.9000000000000001,8.76877450000029,0.275893800000631,0.06964704058892925,7.010337909504901,123.07747023498432
10,15,5,3,True,True,12,780,300,200,0.05,30,45,0.7,21.792361400002846,0.6455676999976276,0.06115018625364365,6.16599186185677,111.11960418850772
10,15,1,5,True,True,8,220,150,400,0.03,35,50,0.5,24.710379700001795,0.81487410000409,0.06089448945906114,6.115131996233636,107.51736985262862
5,15,3,1,True,True,7,960,150,500,0.060000000000000005,50,35,0.7,134.39959910000107,4.589455999997881,0.06533453319456588,6.654888160934624,131.560896298225
10,15,1,5,True,True,11,320,150,400,0.02,40,40,0.8,34.50526419999733,0.9071476999997685,0.0609421441030365,6.1380687408755845,108.13206449124836
10,15,1,5,True,True,11,100,200,400,0.03,40,40,1.0,31.554805200001283,0.8547713999942061,0.060791890167429224,6.110149137131347,108.00287533371456
10,15,1,5,True,True,10,240,100,400,0.04,45,30,0.8,36.58959340000001,0.9770994999962568,0.06110073401985668,6.119844995958869,107.96267649518182
10,15,1,5,True,True,12,520,150,500,0.03,35,45,0.6000000000000001,42.868627599997126,1.1809288000040397,0.06057992501116916,6.078406643761497,106.8002427966452
10,15,1,5,True,True,12,560,200,500,0.05,25,45,0.5,37.62122409999574,1.1603561000010814,0.06072297486579664,6.0790329580664855,107.38390023951382
15,15,1,5,True,True,12,540,550,500,0.05,25,45,0.5,30.384946999998647,0.9378052999963984,0.061055494585782834,6.1655970917949,107.99805828412184
10,15,1,5,True,True,12,640,300,500,0.060000000000000005,15,50,0.6000000000000001,34.407236099996226,1.0722121000035258,0.06150221996206873,6.185740948308809,109.6041397465243
10,15,3,5,True,True,9,1400,250,500,0.060000000000000005,25,50,0.5,24.998504000002868,0.9822026999972877,0.060957561317840636,6.115967873755497,107.46131072872807
10,15,3,3,True,True,5,420,750,500,0.05,30,45,0.4,21.50412309998501,1.0072310000105062,0.0642746674022071,6.5744122481327,120.6151139630241
15,15,1,5,True,True,12,1760,350,500,0.06999999999999999,0,5,0.5,45.684969400004775,1.121105300000636,0.061627205741100866,6.208521174265164,110.24886096454263
10,15,1,5,True,True,12,520,200,500,0.04,35,45,0.6000000000000001,38.70443159999559,1.1546832000021823,0.060703311668711325,6.079937587785359,107.59559783687335
10,15,1,5,True,True,10,320,100,500,0.02,30,50,0.30000000000000004,37.453104899999744,1.2039371999999275,0.06077800169801099,6.08962088366179,106.22903573930749
10,15,1,5,True,True,10,360,100,500,0.01,30,50,0.30000000000000004,37.83733920000668,1.099525800018455,0.06202711377832929,6.236547434574291,107.85402322123976
10,15,1,5,True,True,8,720,100,500,0.02,25,50,0.2,29.33324089999951,1.0713828000007197,0.06201913065164557,6.236820466815025,109.46525898283902
10,15,1,5,True,True,10,580,200,500,0.09,20,45,0.30000000000000004,30.179747700000007,1.0837193000115803,0.061933998102493414,6.197232881010162,109.53281662939548
10,15,3,5,True,True,9,100,250,500,0.05,30,50,0.4,22.133326899995154,1.020534100010991,0.060793502253746474,6.105493767952964,106.7443872246555
5,15,3,5,True,True,9,100,250,200,0.04,35,50,0.4,8.496378500007268,0.34616550000646384,0.061398082732044536,6.207739143232103,108.11224298202482
15,15,3,5,True,True,8,160,100,500,0.01,30,50,0.30000000000000004,26.71489839998685,0.9481285000001662,0.06273102554380178,6.3239424204378265,110.23771197470849
10,15,3,3,True,True,9,60,500,500,0.02,35,25,0.4,28.267197300003318,1.2489678999918397,0.06256025185376896,6.352499298528613,115.23353285140864
10,15,3,5,True,True,8,440,150,500,0.060000000000000005,30,50,0.30000000000000004,22.912817800002813,0.9472153999886359,0.06125185102966618,6.139021333549269,108.08262417953027
10,15,3,5,True,True,9,300,250,500,0.05,25,45,0.4,22.210004799999297,0.9176968000101624,0.06079883565899175,6.102948071627362,106.60277305586436
10,15,3,5,True,True,9,280,250,500,0.05,35,45,0.4,22.491404999986116,1.0595609000010882,0.06059284262668548,6.076849182306471,106.19627117854503
10,15,3,5,True,True,9,300,250,500,0.05,35,45,0.4,25.57135990000097,1.1109636999899521,0.06059284262668548,6.076849182306471,106.19627117854503
10,15,3,5,True,True,9,320,250,500,0.05,30,45,0.4,23.51884799999243,0.966360699996585,0.06072018015030809,6.093658912401725,106.45145225196966
10,15,3,5,True,True,9,300,300,500,0.05,25,40,0.4,22.111065300006885,0.9356228000033298,0.06109021224949856,6.138510498857831,107.6110380626809
10,15,3,5,True,True,10,220,350,500,0.04,30,45,0.4,24.10635970000294,1.081382799995481,0.060696062229621546,6.10995354995888,106.58802360228083
10,15,3,5,True,True,10,220,400,500,0.060000000000000005,30,45,0.4,25.956069399995613,0.9750031999938074,0.06134681080660211,6.180886330370442,108.51638181853122
10,15,3,5,True,True,10,20,350,500,0.04,20,15,0.30000000000000004,24.848164100003487,0.9239707999877282,0.061814565612122646,6.245794722200496,108.97104140945542
10,15,3,5,True,True,9,120,250,500,0.05,30,40,0.2,26.86284689999593,1.0689861999999266,0.06194583249280766,6.246988034423307,108.34715744632291
10,15,3,5,True,True,10,380,400,500,0.04,25,45,0.4,23.24458729998878,0.975940600001195,0.060949793641883264,6.141991473427652,107.14618834800534
10,15,3,5,True,True,9,220,300,500,0.03,35,45,0.4,24.205177299998468,1.037327499994717,0.060672767669491555,6.098349383211619,106.50129326858426
10,15,3,5,True,True,9,320,350,500,0.04,35,45,0.4,23.255605999998807,0.9528404000084265,0.06062208598749098,6.101355658497734,106.45549053732408
10,15,3,5,True,True,9,200,350,500,0.03,35,40,0.30000000000000004,20.911167600002955,0.9103573999891523,0.061610806111750106,6.222344558735322,108.49761549963794
10,15,3,5,True,True,10,320,300,500,0.04,30,45,0.4,30.22967070001323,1.0400196999980835,0.0607590457457479,6.111115233157588,106.56662073965582
10,15,3,5,True,True,10,460,350,500,0.04,35,35,0.4,30.075608099999954,1.0171548000071198,0.06062355789820009,6.098342436964098,106.4598622407247
10,15,3,5,True,True,10,440,300,500,0.03,35,35,0.4,31.5195786000113,1.0182829999976093,0.060793554925603004,6.1168619575162,106.8370586346439
10,15,3,5,True,True,9,360,400,500,0.04,35,40,0.30000000000000004,23.281713899988972,0.9628442999965046,0.06168442572294542,6.227768837906312,108.70925964259239
10,15,5,5,True,True,10,480,300,500,0.04,35,25,0.5,29.344769399991492,1.0460721000054036,0.06152234457532763,6.201897877280334,109.89127228708753
10,15,3,5,True,True,11,320,450,500,0.02,30,30,0.30000000000000004,26.399174000012863,1.0066828000053647,0.062489866894288565,6.346648067807245,110.48760663015258
10,15,3,5,True,True,8,400,300,400,0.03,35,35,0.2,19.967504500003997,0.8272088000012445,0.06209127135853614,6.2895743429506465,107.69507651689689
10,15,3,5,True,True,10,260,350,500,0.04,30,45,0.4,22.78453759999684,1.0750484999953187,0.060696062229621546,6.10995354995888,106.58802360228083
